Nome da Classe,Número de Objetos,Variações de fundo,Variações de Iluminação,Número de Repetições,Total de Amostras,Prefixo dos Arquivos,Observações
Caneta,5,"4 (mesa amarela, mesa marrom, pia preta, azulejo branco)","4 (todas as variações do produto cartesiano {dentro de casa, fora de casa} X {de dia, de Noite}",3,21,caneta,Todas as variações de fundo possuem amostram tanto de dia quanto de noite. Apenas o azulejo branco corresponde a um ambiente de fora de casa.
Grampeador,5,"4 (mesa amarela, mesa marrom, pia preta, azulejo branco)","4 (todas as variações do produto cartesiano {dentro de casa, fora de casa} X {de dia, de Noite}",3,21,grampeador,Todas as variações de fundo possuem amostram tanto de dia quanto de noite. Apenas o azulejo branco corresponde a um ambiente de fora de casa.
Tesoura,5,"4 (mesa amarela, mesa marrom, pia preta, azulejo branco)","4 (todas as variações do produto cartesiano {dentro de casa, fora de casa} X {de dia, de Noite}",3,21,tesoura,Todas as variações de fundo possuem amostram tanto de dia quanto de noite. Apenas o azulejo branco corresponde a um ambiente de fora de casa.
Régua,5,"4 (mesa amarela, mesa marrom, pia preta, azulejo branco)","4 (todas as variações do produto cartesiano {dentro de casa, fora de casa} X {de dia, de Noite}",3,21,regua,Todas as variações de fundo possuem amostram tanto de dia quanto de noite. Apenas o azulejo branco corresponde a um ambiente de fora de casa.
Cubo Mágico,5,"4 (mesa amarela, mesa marrom, pia preta, azulejo branco)","4 (todas as variações do produto cartesiano {dentro de casa, fora de casa} X {de dia, de Noite}",3,21,cubo,Todas as variações de fundo possuem amostram tanto de dia quanto de noite. Apenas o azulejo branco corresponde a um ambiente de fora de casa.
Cabo,5,"4 (mesa amarela, mesa marrom, pia preta, azulejo branco)","4 (todas as variações do produto cartesiano {dentro de casa, fora de casa} X {de dia, de Noite}",3,21,cabo,Todas as variações de fundo possuem amostram tanto de dia quanto de noite. Apenas o azulejo branco corresponde a um ambiente de fora de casa.
Carregador,5,"4 (mesa amarela, mesa marrom, pia preta, azulejo branco)","4 (todas as variações do produto cartesiano {dentro de casa, fora de casa} X {de dia, de Noite}",3,21,carregador,Todas as variações de fundo possuem amostram tanto de dia quanto de noite. Apenas o azulejo branco corresponde a um ambiente de fora de casa.
Prendedor,5,"4 (mesa amarela, mesa marrom, pia preta, azulejo branco)","4 (todas as variações do produto cartesiano {dentro de casa, fora de casa} X {de dia, de Noite}",3,21,prendedor,Todas as variações de fundo possuem amostram tanto de dia quanto de noite. Apenas o azulejo branco corresponde a um ambiente de fora de casa.
Caderno,5,"4 (mesa amarela, mesa marrom, pia preta, azulejo branco)","4 (todas as variações do produto cartesiano {dentro de casa, fora de casa} X {de dia, de Noite}",3,21,caderno,Todas as variações de fundo possuem amostram tanto de dia quanto de noite. Apenas o azulejo branco corresponde a um ambiente de fora de casa.
Rolo de Fita,5,"4 (mesa amarela, mesa marrom, pia preta, azulejo branco)","4 (todas as variações do produto cartesiano {dentro de casa, fora de casa} X {de dia, de Noite}",3,21,fita,Todas as variações de fundo possuem amostram tanto de dia quanto de noite. Apenas o azulejo branco corresponde a um ambiente de fora de casa.
